,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
overall_infections(a),1223362.0,10.0,1222456.0,1224503.0,10.0,10.0,12.0,1222339.0,13.0,11.0,1222375.0,1223386.0,1223026.0,11.0,1222619.0,1221841.0,13.0,1222047.0,11.0,1223850.0,10.0,1222831.0,1223901.0,1222851.0,13.0,1221979.0,1224268.0,15.0,1222922.0,1221464.0,1221694.0,1223106.0,10.0,1222727.0,10.0,1222383.0,1222604.0,13.0,1222000.0,11.0,32.0,25.0,1223163.0,23.0,10.0,11.0,1223555.0,1222961.0,1223613.0,10.0,1221859.0,10.0,1222755.0,1222061.0,1222672.0,20.0,11.0,10.0,1222978.0,1222324.0,12.0,52.0,1222640.0,1222595.0,10.0,1224517.0,1222327.0,32.0,11.0,1220769.0,1222953.0,1224020.0,10.0,1223391.0,10.0,1223104.0,1222643.0,1222268.0,1222975.0,1222035.0,1222003.0,1222500.0,1223051.0,1221323.0,10.0,1221745.0,22.0,1223237.0,1221965.0,1223266.0,1224868.0,1222835.0,1221011.0,1222245.0,1223613.0,1223142.0,1222264.0,1222689.0,1221515.0,1223106.0
overall_dead_to_recovered_percent_365(b),3.281241701673725,0.0,3.4392459988708803,3.3635224215313793,0.0,0.0,0.0,3.2947526038313386,0.0,0.0,3.3225010923116867,3.2734083109618335,3.1553942593203566,0.0,3.369141793290832,3.379148333763447,0.0,3.261564223845817,0.0,3.2960220744687043,0.0,3.361951702860437,3.3832841006712866,3.3416008663932795,0.0,3.3162544153377644,3.189931595749793,0.0,3.266285006501575,3.451491313401671,3.384386216513878,3.300395437958991,0.0,3.3769024313856084,0.0,3.4386289949050486,3.370315115462777,0.0,3.348278763336965,0.0,0.0,0.0,3.318070953650902,0.0,0.0,0.0,3.3224325016720906,3.2543727875561888,3.3612210544927583,0.0,3.294061324585364,0.0,3.2319600091891334,3.3572602159709266,3.374292532759291,0.0,0.0,0.0,3.364870364619303,3.300032047036272,0.0,0.0,3.3377154651388565,3.276467008389705,0.0,3.3084505010795273,3.371568468729847,0.0,0.0,3.3782172750887858,3.246382420126235,3.1778666817294057,0.0,3.2132751023088044,0.0,3.367914778707042,3.2371905605468276,3.320745306720287,3.3698726027258052,3.38942190676424,3.392825727401504,3.3200013415840757,3.3614343253014876,3.403425365026585,0.0,3.2495434964228087,0.0,3.3544016487134867,3.293534040980205,3.3593031179631025,3.3324462344964085,3.3349109618275046,3.3013589736870204,3.364974048962117,3.2564550813063353,3.359367465215059,3.2862611809519238,3.2760345568986144,3.385381959266348,3.313308192651061
daily_new_cases_to_population_percent_avg(c),2.7326351351351357,0.0,3.07587074829932,2.784567901234568,0.0,0.0,0.0,2.862985611510791,0.0,0.0,3.2745263157894735,2.5268594594594593,2.768173333333333,0.0,3.2923404255319144,3.0803443708609284,0.0,3.1876737588652477,0.0,3.1864394904458595,0.0,2.87770303030303,3.4041407407407407,3.400574626865672,0.0,3.0053262411347514,3.133861111111111,0.0,2.6816875,2.7961340782122903,3.1857291666666665,2.5958750000000004,0.0,2.9920352112676056,0.0,3.0305933333333326,3.18125,0.0,2.521782857142857,0.0,8.333333333333333e-05,4.1666666666666665e-05,2.5704912280701757,4.545454545454546e-05,0.0,0.0,2.9753013698630135,2.988616438356164,2.884715976331361,0.0,3.4904487179487194,0.0,3.0892944785276075,3.131140740740741,3.114139705882353,7.142857142857143e-05,0.0,0.0,2.8820925925925924,3.1732638888888887,0.0,0.00011538461538461538,2.7148164556962024,2.8638445945945947,0.0,2.4802247191011237,2.6069166666666668,8.695652173913044e-05,0.0,3.3643840579710145,2.86196644295302,2.839727848101265,0.0,2.8195974842767306,0.0,2.960183006535948,3.0158609271523176,2.532128654970761,3.0844488188976382,3.4219922480620157,2.734245033112583,2.8214968152866233,3.293078125,2.987057692307692,0.0,2.82119018404908,8.333333333333333e-05,2.9513779069767434,3.343051470588235,2.5627106918238995,2.5440054347826084,3.141425806451613,2.3437875647668394,3.140944444444445,2.960173333333334,3.0137318840579703,3.355399999999999,2.8386912751677853,2.7913958333333335,3.1069562043795624
infected_percent_avg(d),29.683858108108108,0.0010000000000000002,34.34089115646259,30.991037037037035,0.0010000000000000002,0.0010000000000000002,0.0010000000000000005,33.03264028776979,0.0010000000000000005,0.0010000000000000002,36.341355263157894,28.32403243243243,31.0822,0.0010000000000000002,37.77919858156029,33.87792715231787,0.0010000000000000005,35.974652482269505,0.0010000000000000002,36.026815286624206,0.0010000000000000002,31.713327272727277,37.93037777777778,37.517462686567164,0.0010000000000000005,32.59074468085107,34.003368055555555,0.001,29.2991125,31.491418994413408,35.667402777777774,28.787743749999997,0.0010000000000000002,34.31958450704226,0.0010000000000000002,33.459273333333336,35.54863235294118,0.0010000000000000005,29.001668571428574,0.0010000000000000002,0.002125,0.0014583333333333334,29.054116959064327,0.0015454545454545458,0.0010000000000000002,0.0010000000000000002,33.076287671232876,32.81017808219178,32.83741420118343,0.0010000000000000002,39.394519230769234,0.0010000000000000002,34.821877300613494,34.005311111111105,34.73830882352941,0.0017857142857142863,0.0010000000000000002,0.0010000000000000002,32.42979012345679,34.96938888888889,0.0010000000000000005,0.003115384615384616,29.732803797468357,32.890567567567565,0.0010000000000000002,27.76346629213483,30.30764285714286,0.002260869565217392,0.0010000000000000002,38.09666666666667,31.771583892617453,31.793778481012662,0.0010000000000000002,30.82940880503145,0.0010000000000000002,32.90799346405229,34.178940397351,28.22740350877193,35.25711811023623,37.13348062015504,30.588973509933776,31.33213375796178,36.157953125000006,33.59988461538462,0.0010000000000000002,30.77193251533743,0.0020000000000000005,32.487325581395346,38.767441176470584,29.37647798742139,28.539766304347822,35.14577419354839,25.32098445595855,35.75529166666666,32.73257333333334,33.48114492753623,36.79584516129033,31.852248322147656,30.78473611111111,34.696065693430654
days_to_0,147.0,10.0,146.0,161.0,10.0,10.0,12.0,138.0,13.0,11.0,151.0,184.0,149.0,11.0,140.0,150.0,13.0,140.0,11.0,156.0,10.0,164.0,134.0,133.0,13.0,140.0,143.0,15.0,159.0,178.0,143.0,159.0,10.0,141.0,10.0,149.0,135.0,13.0,174.0,11.0,23.0,23.0,170.0,21.0,10.0,11.0,145.0,145.0,168.0,10.0,155.0,10.0,162.0,134.0,135.0,13.0,11.0,10.0,161.0,143.0,12.0,25.0,157.0,147.0,10.0,177.0,167.0,22.0,11.0,137.0,148.0,157.0,10.0,158.0,10.0,152.0,150.0,170.0,126.0,128.0,150.0,156.0,127.0,155.0,10.0,162.0,11.0,171.0,135.0,158.0,183.0,154.0,192.0,143.0,149.0,137.0,154.0,148.0,143.0,136.0
